qlet	Birt`h order (within pregnancy)
kv7035	K5e: In past month child slept too much
kv7036	K5f: In past month there was a period when child was agitated or restless
kv7037	K5g: In past month there was a period when child felt worthless or unnecessarily guilty
kv7038	K5h: In past month there was a period when child found it hard to concentrate
kv7039	K5i: In past month child thought about death a lot
kv7040	K5j: In past month child talked about harming or killing themselves
kv7041	K5k: In past month child tried to harm or kill themselves
kv7042	K5l: Child has ever tried to harm or kill self
kv7050	K6: Level of overall distress child feels as a result of feeling miserable, irritable or lacking interest
kv7060	K7a: This has interfered with family relationships
kv7061	K7b: This has interfered with making or keeping friends
kv7062	K7c: This has interfered with learning or school work
kv7063	K7d: This has interfered with playing, hobbies, sports or other activities
kv7070	K8: Child's feeling miserable, irritable or lacking interest has put a burden on the family
kv7500	L1: Child has problems with overactivity or poor concentration
kv7510	L2a: In last 6 months child often fidgets
kv7511	L2b: In last 6 months child found it hard to sit still for long
kv7512	L2c: In last 6 months child ran or climbed around when should not
kv7513	L2d: In last 6 months child found it hard to take part in activities without making noise
kv7514	L2e: In last 6 months child found it hard to calm down when asked to
kv7520	L3a: In last 6 months child blurted out answers before hearing questions properly
kv7521	L3b: In last 6 months child found it hard to wait for turn
kv7522	L3c: In last 6 months child often butted in on others conversations or games
kv7523	L3d: In last 6 months child often went on talking even if told to stop or no one is listening
kv7530	L4a: In last 6 months child makes careless mistakes or doesn't pay attention
kv7531	L4b: In last 6 months child seems to lose interest in what child is doing
kv7532	L4c: In last 6 months child does not listen to people
kv7533	L4d: In last 6 months child often does not complete jobs
kv7534	L4e: In last 6 months child has had difficulty organising themselves
kv7535	L4f: In last 6 months child often tried to avoid things involving thought
kv7536	L4g: In last 6 months child often lost things needed for school
kv7537	L4h: In last 6 months child has been easily distracted
kv7538	L4i: In last 6 months child was often forgetful
kv7540	L5a: In last 6 months teacher has complained that child is fidgety, restless or overactive
kv7541	L5b: In last 6 months teacher has complained that child has poor concentration
kv7542	L5c: In last 6 months teacher has complained that child acts without thinking, butts in or does not wait turn
kv7550	L6: These problems have been there most of child's life
kv7560	L7: Age child's problems started
kv7570	L8: Mothers assessment of level of distress caused to child by problems
kv7580	L9a: These problems have interfered with family relationships
kv7581	L9b: These problems have interfered with making and keeping friends
kv7582	L9c: These problems have interfered with learning and school work
kv7583	L9d: These problems have interfered with playing, hobbies, sports or other leisure activities
kv7590	L10: These problems have put a burden on the family as a whole
kv8000	M1: Mothers assessment of how child's awkward behaviour compares with other children
kv8010	M2a: In past 6 months child has had severe tantrums
kv8011	M2b: In past 6 months child has argued with grown-ups
kv8012	M2c: In past 6 months child has taken no notice of rules or refused to do as told
kv8013	M2d: In past 6 months child has done things to annoy others
kv8014	M2e: In past 6 months child has blamed others for own mistakes
kv8015	M2f: In past 6 months child has been touchy or easily annoyed
kv8016	M2g: In past 6 months child has been angry or resentful
kv8017	M2h: In past 6 months child has been spiteful
kv8018	M2i: In past 6 months child has tried to get own back on others
kv8020	M3: This behaviour is with one or more people
kv8030	M4: Child has had this behaviour for most of life
kv8040	M5: Age that this behaviour started
kv8050	M6a: This behaviour has interfered with family relationships
kv8051	M6b: This behaviour has interfered with making or keeping friends
kv8052	M6c: This behaviour has interfered with learning or school work
kv8053	M6d: This behaviour has interfered with playing, hobbies, sports or other activities
kv8060	M7: These problems have put a burden on the family as a whole
kv8070	M8: In past 6 months teacher has complained of this type of behaviour
kv8080	M9a: In past year child has told lies to get favours or to get out of things
kv8081	M9a1: This has happened in past 6 months
kv8082	M9b: In past year child has often started fights
kv8083	M9b1: This has happened in past 6 months
kv8084	M9c: In past year child has bullied or threatened people
kv8085	M9c1: This has happened in past 6 months
kv8086	M9d: In past year child has stayed out much later than was supposed to
kv8087	M9d1: This has happened in past 6 months
kv8088	M9e: In past year child has stolen things
kv8089	M9e1: This has happened in past 6 months
kv8090	M9f: In past year child has run away from home or stayed out all night without permission
kv8091	M9f1: This has happened in past 6 months
kv8092	M9g: In past year child has often played truant
kv8093	M9g1: This has happened in past 6 months
kv8100	M10: Child has shown other worrying behaviour in the last 12 months
kv8500	N1a: In childs first 3 years Mother was worried about childs speech development
kv8501	N1a1: This has cleared up completely
kv8502	N1b: In childs first 3 years Mother was worried about how child got on with others
kv8503	N1b1: This has cleared up completely
kv8504	N1c: In childs first 3 years Mother was worried about childs unusual rituals
kv8505	N1c1: This has cleared up completely
kv8510	N2: Nowadays child has tics twitches that are uncontrollable
kv8520	N3a: In past 6 months child was not aware of others feelings
kv8521	N3b: In past 6 months child did not realise when others were upset
kv8522	N3c: In past 6 months child did not notice the effect of behaviour on family members
kv8523	N3d: In past 6 months childs behaviour has disrupted family life
kv8524	N3e: In past 6 months child as been very demanding of other time
kv8525	N3f: In past 6 months child was difficult to reason with when upset
kv8526	N3g: In past 6 months child did not seem to understand social skills
kv8527	N3h: In past 6 months child did not pick up on body language
kv8528	N3i: In past 6 months child did not understand how to behave in public
kv8529	N3j: In past 6 months child did not understand when child was offending people
kv8530	N3k: In past 6 months child did not respond when told to do something
kv8531	N3l: In past 6 months child could not follow commands unless carefully worded
kv8532	N3m: In past 6 months you have other comments or concerns about child
kv9000	O1: Type of school child attends
kv9010	O2a: Child has problems that school has to make special arrangements for
kv9012	O2b1: Childs needs special arrangements at school for a learning difficulty
kv9013	O2b2: Childs needs special arrangements at school for a speech problem
kv9014	O2b3: Childs needs special arrangements at school for a hearing problem
kv9015	O2b4: Childs needs special arrangements at school for an eyesight problem
kv9016	O2b5: Childs needs special arrangements at school for a physical problem
kv9018	O2b6: Childs needs special arrangements at school for a reading difficulty
kv9019	O2b7: Childs needs special arrangements at school for an emotional or behavioural problem
kv9020	O2b8: Childs needs special arrangements at school for something else
kv9980	P1a: Questionnaire completed by child's biological mother
kv9981	P1b: Questionnaire completed by child's mother figure
kv9982	P1c: Questionnaire completed by child's biological father
